(HL-GNN) gaomingchen@abc:~/OpenTLP/Python$ python /home/gaomingchen/OpenTLP/Python/LIST_demo1.py
snap 5 AUC 0.502712
snap 6 AUC 0.431557
snap 7 AUC 0.476788
snap 8 AUC 0.484941
snap 9 AUC 0.452792
snap 10 AUC 0.476901
snap 11 AUC 0.466099
snap 12 AUC 0.453232
snap 13 AUC 0.479562
snap 14 AUC 0.481085
snap 15 AUC 0.465142
snap 16 AUC 0.476058
snap 17 AUC 0.491658
snap 18 AUC 0.478277
snap 19 AUC 0.482030
snap 20 AUC 0.506995
snap 21 AUC 0.472233
snap 22 AUC 0.488549
snap 23 AUC 0.475749
snap 24 AUC 0.468484
snap 25 AUC 0.454139
