(HL-GNN) gaomingchen@abc:~/OpenTLP/Python$ python /home/gaomingchen/OpenTLP/Python/TMF_demo1.py
snap 5 AUC 0.742001
snap 6 AUC 0.830787
snap 7 AUC 0.764463
snap 8 AUC 0.819804
snap 9 AUC 0.868168
snap 10 AUC 0.824697
snap 11 AUC 0.881966
snap 12 AUC 0.844582
snap 13 AUC 0.866854
snap 14 AUC 0.849197
snap 15 AUC 0.873836
snap 16 AUC 0.791943
snap 17 AUC 0.799368
snap 18 AUC 0.813158
snap 19 AUC 0.745629
snap 20 AUC 0.820914
snap 21 AUC 0.806649
snap 22 AUC 0.873919
snap 23 AUC 0.920363
snap 24 AUC 0.842334
snap 25 AUC 0.845845
